,頻道名,網址,類別,icon
22,眾量級CROWD,https://www.youtube.com/channel/UC3LBFXbWtEBdOOUb8-qJm9Q/videos,娛樂,https://yt3.ggpht.com/ytc/AKedOLQCiOT8fsEocPXXS0Ywe9uduWSLqNhwgQcCeZqq6A=s900-c-k-c0x00ffffff-no-rj
23,Ru's Piano Ru味春捲,https://www.youtube.com/c/RusPiano/videos,音樂,https://yt3.ggpht.com/ytc/AKedOLS9XQ6pYURpm9TKiFB9_slX5-HrV1UMKo1YIYWSwg=s900-c-k-c0x00ffffff-no-rj
24,捷成華視—偶像劇場 Idol & Roman,https://www.youtube.com/c/HuashiRomance/videos,娛樂,https://yt3.ggpht.com/ytc/AKedOLQYmi9ONPPqM_o1JXB0bjZybIMBKQ2JISoxv2b5nQ=s900-c-k-c0x00ffffff-no-rj
25,主頻道【谷阿莫】,https://www.youtube.com/c/amogood/videos,電影動漫,https://yt3.ggpht.com/ytc/AKedOLRlHo1oZzJhaE-ayPWX_AaAhMMtOouS3DfNKX8VxA=s900-c-k-c0x00ffffff-no-rj
26,三立新聞網SETN,https://www.youtube.com/channel/UCIU8ha-NHmLjtUwU7dFiXUA/videos,新聞,https://yt3.ggpht.com/MjPG_8tViEa7Y12kDFXgbCV4xjbGx6VZtH_EuFuNg2N6dyFpK_B6xHekFg7Bx5m3sd3RzvlcQbo=s900-c-k-c0x00ffffff-no-rj
27,TVBS NEWS,https://www.youtube.com/c/TVBSNEWS01/videos,新聞,https://yt3.ggpht.com/ytc/AKedOLTefRIVeBgvbsXCAmZj-N2XTRyeM6Ac2Mys0dOFQA=s900-c-k-c0x00ffffff-no-rj
28,黃氏兄弟,https://www.youtube.com/c/%E9%BB%83%E6%B0%8F%E5%85%84%E5%BC%9F/videos,娛樂,https://yt3.ggpht.com/0yuFeZJwwRMdsz2mfM3YdoU1p5I2E52kdz13v22DR03-lp6A-VQrycuNU5x0Z6_9vaYFEcyN=s900-c-k-c0x00ffffff-no-rj
29,DE JuN,https://www.youtube.com/c/DEJunMix/videos,遊戲,https://yt3.ggpht.com/ytc/AKedOLTupGKKk5jWNdcjgqS6a07VxdMv8pF_4Iuv_xKdQg=s900-c-k-c0x00ffffff-no-rj
30,福茂唱片,https://www.youtube.com/c/LinfairRecords/videos,音樂,https://yt3.ggpht.com/ytc/AKedOLRjREfWd00ecB6-i9k7-G1dXN_Ez_k6DtJQemqEnA=s900-c-k-c0x00ffffff-no-rj
31,千千進食中,https://www.youtube.com/c/Chienseating/videos,主題人物,https://yt3.ggpht.com/ytc/AKedOLSxbNNqfnooMzau2CssbOv9g8hUHJ0fDvG1FyVuiA=s900-c-k-c0x00ffffff-no-rj
32,東森新聞CH51,https://www.youtube.com/c/newsebc/videos,新聞,https://yt3.ggpht.com/ytc/AKedOLTJF3vf6WMkZD_5lr5FQzOBqZH_GqObSZ1PBI7TnA=s900-c-k-c0x00ffffff-no-rj
